YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CARRIER_CD,CRS_DEP_TM,DEP_DELAY,DEP_DELAY_15,CRS_ARR_TM,ARR_DELAY,ARR_DELAY_15,CANCELLED,ORIGIN_AIRPORT_CD,DEST_AIRPORT_CD
2013,6,1,6,WN,1820,2,0,1925,-5,0,0,LAX,SJC
2013,6,1,6,WN,1000,1,0,1110,-6,0,0,LAX,SJC
2013,6,1,6,WN,1725,0,0,1835,-11,0,0,LAX,SJC
2013,6,1,6,WN,1725,0,0,2005,-7,0,0,LAX,SLC
2013,6,1,6,WN,950,-5,0,1235,-17,0,0,LAX,SLC
2013,6,1,6,WN,645,-2,0,805,-13,0,0,LAX,SMF
2013,6,1,6,WN,1605,-1,0,1725,-11,0,0,LAX,SMF
2013,6,1,6,WN,1210,-2,0,1330,-13,0,0,LAX,SMF
2013,6,1,6,WN,1010,-4,0,1130,-6,0,0,LAX,SMF
2013,6,1,6,WN,1840,-3,0,2000,-13,0,0,LAX,SMF
2013,6,1,6,WN,2015,-1,0,2130,5,0,0,LAX,SMF
2013,6,1,6,WN,940,-4,0,1515,-12,0,0,LAX,STL
2013,6,1,6,WN,1425,0,0,1955,-6,0,0,LAX,STL
2013,6,1,6,WN,1705,36,1,1820,35,1,0,LAX,TUS
2013,6,1,6,WN,1315,0,0,1435,-4,0,0,LAX,TUS
2013,6,1,6,WN,900,-6,0,1025,-12,0,0,LAX,TUS
2013,6,1,6,WN,1420,-2,0,1600,-39,0,0,LGA,BNA
2013,6,1,6,WN,735,-3,0,900,1,0,0,LGA,BNA
2013,6,1,6,WN,800,0,0,1030,-18,0,0,LGA,DEN
2013,6,1,6,WN,1715,8,0,2000,-46,0,0,LGA,DEN
2013,6,1,6,WN,1650,0,0,1820,-3,0,0,LGA,MDW
2013,6,1,6,WN,1120,-5,0,1300,-43,0,0,LGA,MDW
2013,6,1,6,WN,1920,27,1,2050,2,0,0,LGA,MDW
2013,6,1,6,WN,700,0,0,825,-24,0,0,LGA,MDW
2013,6,1,6,WN,1320,3,0,1455,-25,0,0,LGA,MDW
2013,6,1,6,WN,1000,0,0,1130,-7,0,0,LGA,MKE
2013,6,1,6,WN,1345,2,0,1515,-1,0,0,LGA,MKE
2013,6,1,6,WN,1525,3,0,1710,-7,0,0,LGA,STL
2013,6,1,6,WN,630,-2,0,815,-20,0,0,LGA,STL
2013,6,1,6,WN,1245,16,1,1355,5,0,0,MCI,ABQ
2013,6,1,6,WN,1205,2,0,1335,-6,0,0,MCI,BNA
2013,6,1,6,WN,740,6,0,905,14,0,0,MCI,BNA
2013,6,1,6,WN,1530,25,1,1700,24,1,0,MCI,BNA
2013,6,1,6,WN,1320,7,0,1715,1,0,0,MCI,BOS
2013,6,1,6,WN,1330,1,0,1700,-16,0,0,MCI,BWI
2013,6,1,6,WN,900,-3,0,1225,-12,0,0,MCI,BWI
2013,6,1,6,WN,1745,-3,0,1915,-1,0,0,MCI,DAL
2013,6,1,6,WN,1035,-4,0,1210,-1,0,0,MCI,DAL
2013,6,1,6,WN,1230,3,0,1400,5,0,0,MCI,DAL
2013,6,1,6,WN,1455,-2,0,1625,-9,0,0,MCI,DAL
2013,6,1,6,WN,725,2,0,905,2,0,0,MCI,DAL
2013,6,1,6,WN,1625,61,1,1805,40,1,0,MCI,DAL
2013,6,1,6,WN,1835,16,1,1920,6,0,0,MCI,DEN
2013,6,1,6,WN,1635,14,0,1725,-5,0,0,MCI,DEN
2013,6,1,6,WN,705,0,0,750,-9,0,0,MCI,DEN
2013,6,1,6,WN,1215,-2,0,1300,-11,0,0,MCI,DEN
2013,6,1,6,WN,1615,68,1,2015,78,1,0,MCI,FLL
2013,6,1,6,WN,850,4,0,1045,27,1,0,MCI,HOU
2013,6,1,6,WN,1540,2,0,1800,-2,0,0,MCI,IND
2013,6,1,6,WN,1600,22,1,1715,-7,0,0,MCI,LAS
2013,6,1,6,WN,1155,26,1,1305,6,0,0,MCI,LAS
2013,6,1,6,WN,705,1,0,805,-4,0,0,MCI,LAS
2013,6,1,6,WN,925,-4,0,1030,-10,0,0,MCI,LAS
2013,6,1,6,WN,800,-1,0,935,-6,0,0,MCI,LAX
2013,6,1,6,WN,1625,4,0,1805,-12,0,0,MCI,LAX
2013,6,1,6,WN,625,2,0,1005,2,0,0,MCI,MCO
2013,6,1,6,WN,1535,13,0,1920,-1,0,0,MCI,MCO
2013,6,1,6,WN,940,-2,0,1100,-16,0,0,MCI,MDW
2013,6,1,6,WN,1730,115,1,1850,113,1,0,MCI,MDW
2013,6,1,6,WN,1925,2,0,2045,26,1,0,MCI,MDW
2013,6,1,6,WN,1425,19,1,1545,8,0,0,MCI,MDW
2013,6,1,6,WN,710,0,0,835,-18,0,0,MCI,MDW
2013,6,1,6,WN,1210,-1,0,1330,-9,0,0,MCI,MDW
2013,6,1,6,WN,950,-3,0,1110,-11,0,0,MCI,MKE
2013,6,1,6,WN,1845,50,1,2010,39,1,0,MCI,MKE
2013,6,1,6,WN,1735,-5,0,1855,-12,0,0,MCI,MSP
2013,6,1,6,WN,955,-5,0,1115,-22,0,0,MCI,MSP
2013,6,1,6,WN,1435,-1,0,1630,9,0,0,MCI,MSY
2013,6,1,6,WN,1525,42,1,1635,31,1,0,MCI,OKC
2013,6,1,6,WN,1920,9,0,2100,3,0,0,MCI,PDX
2013,6,1,6,WN,830,-4,0,925,7,0,0,MCI,PHX
2013,6,1,6,WN,1545,5,0,1640,-16,0,0,MCI,PHX
2013,6,1,6,WN,1245,1,0,1340,-19,0,0,MCI,PHX
2013,6,1,6,WN,1100,1,0,1235,-24,0,0,MCI,SAN
2013,6,1,6,WN,725,6,0,820,1,0,0,MCI,STL
2013,6,1,6,WN,1555,11,0,1650,25,1,0,MCI,STL
2013,6,1,6,WN,1030,-1,0,1125,-10,0,0,MCI,STL
2013,6,1,6,WN,740,0,0,1115,-11,0,0,MCI,TPA
2013,6,1,6,WN,1955,9,0,2155,-7,0,0,MCO,ABQ
2013,6,1,6,WN,925,11,0,1055,10,0,0,MCO,ATL
2013,6,1,6,WN,910,-1,0,1050,-9,0,0,MCO,AUS
2013,6,1,6,WN,1340,17,1,1520,11,0,0,MCO,AUS
2013,6,1,6,WN,905,0,0,1145,-3,0,0,MCO,BDL
2013,6,1,6,WN,1800,-3,0,2045,-8,0,0,MCO,BDL
2013,6,1,6,WN,1050,11,0,1330,16,1,0,MCO,BDL
2013,6,1,6,WN,1120,11,0,1220,-7,0,0,MCO,BNA
2013,6,1,6,WN,1330,-5,0,1420,-9,0,0,MCO,BNA
2013,6,1,6,WN,1650,13,0,1745,3,0,0,MCO,BNA
2013,6,1,6,WN,740,1,0,840,-16,0,0,MCO,BNA
2013,6,1,6,WN,1520,41,1,1610,56,1,0,MCO,BNA
2013,6,1,6,WN,920,16,1,1200,4,0,0,MCO,BUF
2013,6,1,6,WN,1830,-6,0,2040,11,0,0,MCO,BWI
2013,6,1,6,WN,635,0,0,850,-21,0,0,MCO,BWI
2013,6,1,6,WN,1015,10,0,1230,-6,0,0,MCO,BWI
2013,6,1,6,WN,1530,3,0,1740,0,0,0,MCO,BWI
2013,6,1,6,WN,1305,6,0,1515,1,0,0,MCO,BWI
2013,6,1,6,WN,745,4,0,1000,-10,0,0,MCO,BWI
2013,6,1,6,WN,1740,0,0,2000,-19,0,0,MCO,BWI
2013,6,1,6,WN,1210,2,0,1350,-4,0,0,MCO,CLT
2013,6,1,6,WN,2000,-7,0,2210,-9,0,0,MCO,CMH
2013,6,1,6,WN,1455,-3,0,1705,-14,0,0,MCO,CMH
2013,6,1,6,WN,1350,2,0,1555,-10,0,0,MCO,DEN
2013,6,1,6,WN,1655,27,1,1855,19,1,0,MCO,DEN
2013,6,1,6,WN,925,14,0,1120,13,0,0,MCO,DEN
2013,6,1,6,WN,1050,18,1,1220,-1,0,0,MCO,HOU
2013,6,1,6,WN,810,-1,0,940,-4,0,0,MCO,HOU
2013,6,1,6,WN,1715,-1,0,1900,-36,0,0,MCO,HOU
2013,6,1,6,WN,1035,12,0,1255,4,0,0,MCO,IND
2013,6,1,6,WN,1750,25,1,1955,-2,0,0,MCO,LAS
2013,6,1,6,WN,935,2,0,1135,-12,0,0,MCO,MCI
2013,6,1,6,WN,1815,0,0,2005,-7,0,0,MCO,MCI
2013,6,1,6,WN,1800,68,1,1950,52,1,0,MCO,MDW
2013,6,1,6,WN,750,6,0,940,-2,0,0,MCO,MDW
2013,6,1,6,WN,1315,8,0,1455,-5,0,0,MCO,MDW
2013,6,1,6,WN,1440,1,0,1625,-13,0,0,MCO,MDW
2013,6,1,6,WN,1910,54,1,2055,50,1,0,MCO,MDW
2013,6,1,6,WN,1020,12,0,1210,-8,0,0,MCO,MDW
2013,6,1,6,WN,1135,49,1,1325,31,1,0,MCO,MKE
2013,6,1,6,WN,1425,5,0,1510,-7,0,0,MCO,MSY
2013,6,1,6,WN,830,0,0,920,-21,0,0,MCO,MSY
2013,6,1,6,WN,1655,29,1,1735,19,1,0,MCO,MSY
2013,6,1,6,WN,1850,2,0,1930,-2,0,0,MCO,MSY
2013,6,1,6,WN,755,2,0,945,-4,0,0,MCO,ORF
2013,6,1,6,WN,2000,8,0,2150,9,0,0,MCO,ORF
2013,6,1,6,WN,1800,-1,0,2025,-8,0,0,MCO,PHL
2013,6,1,6,WN,2000,-4,0,2225,-15,0,0,MCO,PHL
2013,6,1,6,WN,1645,-2,0,1825,-23,0,0,MCO,PHX
2013,6,1,6,WN,1735,-6,0,1950,-11,0,0,MCO,PIT
2013,6,1,6,WN,1915,6,0,2155,7,0,0,MCO,PVD
2013,6,1,6,WN,1050,13,0,1330,15,1,0,MCO,PVD
2013,6,1,6,WN,725,-1,0,1005,1,0,0,MCO,PVD
2013,6,1,6,WN,1420,11,0,1705,15,1,0,MCO,PVD
2013,6,1,6,WN,900,13,0,1145,8,0,0,MCO,PVD
2013,6,1,6,WN,1800,-2,0,1940,-9,0,0,MCO,RDU
2013,6,1,6,WN,1035,20,1,1215,13,0,0,MCO,RDU
2013,6,1,6,WN,1135,2,0,1325,-14,0,0,MCO,SAT
2013,6,1,6,WN,1150,1,0,1400,-19,0,0,MCO,SDF
2013,6,1,6,WN,800,1,0,1045,-4,0,0,MCO,SJU
2013,6,1,6,WN,1155,7,0,1435,2,0,0,MCO,SJU
2013,6,1,6,WN,1845,15,1,2125,13,0,0,MCO,SJU
2013,6,1,6,WN,1620,0,0,1750,12,0,0,MCO,STL
2013,6,1,6,WN,1930,-1,0,2100,-19,0,0,MCO,STL
2013,6,1,6,WN,1015,5,0,1145,-11,0,0,MCO,STL
2013,6,1,6,WN,1135,4,0,1340,-10,0,0,MDW,ABQ
2013,6,1,6,WN,1810,40,1,2010,50,1,0,MDW,ABQ
2013,6,1,6,WN,1940,9,0,2230,4,0,0,MDW,ATL
2013,6,1,6,WN,750,1,0,1035,-2,0,0,MDW,ATL
2013,6,1,6,WN,1245,-3,0,1535,-5,0,0,MDW,ATL
2013,6,1,6,WN,1755,129,1,2030,130,1,0,MDW,AUS
2013,6,1,6,WN,925,-1,0,1200,15,1,0,MDW,AUS
2013,6,1,6,WN,1945,113,1,2245,109,1,0,MDW,BDL
2013,6,1,6,WN,1325,15,1,1635,-7,0,0,MDW,BDL
2013,6,1,6,WN,650,-3,0,815,-12,0,0,MDW,BNA
2013,6,1,6,WN,905,-5,0,1030,-12,0,0,MDW,BNA
2013,6,1,6,WN,1535,32,1,1655,50,1,0,MDW,BNA
2013,6,1,6,WN,1755,0,0,1915,4,0,0,MDW,BNA
2013,6,1,6,WN,1210,0,0,1335,-9,0,0,MDW,BNA
2013,6,1,6,WN,815,-4,0,1130,-10,0,0,MDW,BOS
2013,6,1,6,WN,1325,13,0,1640,4,0,0,MDW,BOS
2013,6,1,6,WN,1020,43,1,1335,35,1,0,MDW,BOS
2013,6,1,6,WN,1945,56,1,2300,57,1,0,MDW,BOS
2013,6,1,6,WN,1330,-1,0,1600,-17,0,0,MDW,BUF
2013,6,1,6,WN,1050,-2,0,1315,-13,0,0,MDW,BUF
2013,6,1,6,WN,1705,-5,0,1930,4,0,0,MDW,BUF
2013,6,1,6,WN,1940,6,0,2205,8,0,0,MDW,BUF
2013,6,1,6,WN,1635,38,1,1920,30,1,0,MDW,BWI
2013,6,1,6,WN,850,0,0,1140,-13,0,0,MDW,BWI
2013,6,1,6,WN,1325,6,0,1615,-8,0,0,MDW,BWI
2013,6,1,6,WN,625,-1,0,915,-7,0,0,MDW,BWI
2013,6,1,6,WN,1905,2,0,2155,-10,0,0,MDW,BWI
2013,6,1,6,WN,935,-4,0,1145,-6,0,0,MDW,CLE
2013,6,1,6,WN,1840,113,1,2050,105,1,0,MDW,CLE
2013,6,1,6,WN,1145,-1,0,1355,-12,0,0,MDW,CLE
2013,6,1,6,WN,1620,21,1,1830,19,1,0,MDW,CLE
2013,6,1,6,WN,1335,9,0,1545,6,0,0,MDW,CLE
2013,6,2,7,WN,2005,50,1,2235,43,1,0,MDW,SEA
2013,6,2,7,WN,1115,4,0,1335,19,1,0,MDW,SEA
2013,6,2,7,WN,825,7,0,1045,16,1,0,MDW,SEA
2013,6,2,7,WN,1735,11,0,2000,3,0,0,MDW,SEA
2013,6,2,7,WN,1240,-1,0,1515,-20,0,0,MDW,SFO
2013,6,2,7,WN,1955,66,1,2230,48,1,0,MDW,SFO
2013,6,2,7,WN,815,-1,0,1055,-21,0,0,MDW,SFO
2013,6,2,7,WN,1630,11,0,1910,-16,0,0,MDW,SJC
2013,6,2,7,WN,820,0,0,1040,-1,0,0,MDW,SLC
2013,6,2,7,WN,1955,73,1,2215,71,1,0,MDW,SLC
2013,6,2,7,WN,1800,72,1,2030,55,1,0,MDW,SMF
2013,6,2,7,WN,815,6,0,1030,6,0,0,MDW,SNA
2013,6,2,7,WN,700,-2,0,805,-9,0,0,MDW,STL
2013,6,2,7,WN,1050,0,0,1150,0,0,0,MDW,STL
2013,6,2,7,WN,1900,143,1,2000,142,1,0,MDW,STL
2013,6,2,7,WN,2155,39,1,2255,33,1,0,MDW,STL
2013,6,2,7,WN,2000,45,1,2105,39,1,0,MDW,STL
2013,6,2,7,WN,755,11,0,855,7,0,0,MDW,STL
2013,6,2,7,WN,1815,75,1,1920,70,1,0,MDW,STL
2013,6,2,7,WN,1405,6,0,1510,2,0,0,MDW,STL
2013,6,2,7,WN,1610,127,1,1720,116,1,0,MDW,STL
2013,6,2,7,WN,1105,1,0,1435,-9,0,0,MDW,TPA
2013,6,2,7,WN,1415,-3,0,1745,1,0,0,MDW,TPA
2013,6,2,7,WN,2055,46,1,20,39,1,0,MDW,TPA
2013,6,2,7,WN,700,0,0,1035,-15,0,0,MDW,TPA
2013,6,2,7,WN,1955,20,1,2120,26,1,0,MDW,TUS
2013,6,2,7,WN,1235,14,0,1405,7,0,0,MDW,TUS
2013,6,2,7,WN,2010,57,1,2325,44,1,0,MKE,BOS
2013,6,2,7,WN,1435,17,1,1750,15,1,0,MKE,BOS
2013,6,2,7,WN,735,-1,0,1050,-14,0,0,MKE,BOS
2013,6,2,7,WN,1415,8,0,1705,12,0,0,MKE,BWI
2013,6,2,7,WN,1730,68,1,2025,71,1,0,MKE,BWI
2013,6,2,7,WN,630,-2,0,925,-15,0,0,MKE,BWI
2013,6,2,7,WN,1945,18,1,2115,12,0,0,MKE,DEN
2013,6,2,7,WN,615,-2,0,745,-3,0,0,MKE,DEN
2013,6,2,7,WN,1305,-3,0,1455,-11,0,0,MKE,LAS
2013,6,2,7,WN,1420,-4,0,1605,-8,0,0,MKE,LAS
2013,6,2,7,WN,1620,6,0,1805,-1,0,0,MKE,LAS
2013,6,2,7,WN,850,0,0,1105,6,0,0,MKE,LAX
2013,6,2,7,WN,1400,5,0,1620,6,0,0,MKE,LAX
2013,6,2,7,WN,850,-6,0,1200,-12,0,0,MKE,LGA
2013,6,2,7,WN,1215,212,1,1525,197,1,0,MKE,LGA
2013,6,2,7,WN,1815,111,1,2125,164,1,0,MKE,LGA
2013,6,2,7,WN,600,-4,0,910,-6,0,0,MKE,LGA
2013,6,2,7,WN,1015,-2,0,1145,-5,0,0,MKE,MCI
2013,6,2,7,WN,1450,17,1,1620,14,0,0,MKE,MCI
2013,6,2,7,WN,1620,-2,0,2000,44,1,0,MKE,MCO
2013,6,2,7,WN,2115,33,1,2225,43,1,0,MKE,MSP
2013,6,2,7,WN,1655,0,0,1805,-9,0,0,MKE,MSP
2013,6,2,7,WN,1055,6,0,1205,0,0,0,MKE,MSP
2013,6,2,7,WN,1500,11,0,1705,25,1,0,MKE,MSY
2013,6,2,7,WN,650,2,0,825,14,0,0,MKE,PHX
2013,6,2,7,WN,1605,-1,0,1745,-13,0,0,MKE,PHX
2013,6,2,7,WN,1140,16,1,1355,23,1,0,MKE,SEA
2013,6,2,7,WN,1010,5,0,1245,-14,0,0,MKE,SFO
2013,6,2,7,WN,1855,70,1,2130,56,1,0,MKE,SFO
2013,6,2,7,WN,845,-4,0,955,-7,0,0,MKE,STL
2013,6,2,7,WN,1905,12,0,2020,1,0,0,MKE,STL
